term,language,entity,version
部屋,ja,Room,1
客室,ja,Room,1
室内,ja,Room,1
部屋内,ja,Room,1
壁,ja,Room,1
壁紙,ja,Room,1
浴室,ja,Bathroom & Water,1
バスルーム,ja,Bathroom & Water,1
風呂,ja,Bathroom & Water,1
お風呂,ja,Bathroom & Water,1
シャワー,ja,Bathroom & Water,1
トイレ,ja,Bathroom & Water,1
洗面台,ja,Bathroom & Water,1
洗面所,ja,Bathroom & Water,1
ベッド,ja,Bedding,1
布団,ja,Bedding,1
枕,ja,Bedding,1
エアコン,ja,Air Conditioning,1
空調,ja,Air Conditioning,1
暖房,ja,Air Conditioning,1
冷房,ja,Air Conditioning,1
テレビ,ja,In-room Facilities,1
冷蔵庫,ja,In-room Facilities,1
金庫,ja,In-room Facilities,1
ドライヤー,ja,In-room Facilities,1
アメニティ,ja,In-room Facilities,1
スタッフ,ja,Staff Service,1
対応,ja,Staff Service,1
受付,ja,Staff Service,1
従業員,ja,Staff Service,1
店員,ja,Staff Service,1
フロント,ja,Staff Service,1
コンシェルジュ,ja,Staff Service,1
朝食,ja,Food & Beverage,1
夕食,ja,Food & Beverage,1
食事,ja,Food & Beverage,1
レストラン,ja,Food & Beverage,1
料理,ja,Food & Beverage,1
メニュー,ja,Food & Beverage,1
ロビー,ja,Facilities,1
エレベーター,ja,Facilities,1
設備,ja,Facilities,1
自販機,ja,Facilities,1
自動販売機,ja,Facilities,1
大浴場,ja,Facilities,1
温泉,ja,Facilities,1
ジム,ja,Facilities,1
プール,ja,Facilities,1
車,ja,Transportation,1
バス,ja,Transportation,1
移動,ja,Transportation,1
運転,ja,Transportation,1
駐車場,ja,Transportation,1
立地,ja,Location,1
場所,ja,Location,1
周辺,ja,Location,1
アクセス,ja,Location,1
駅,ja,Location,1
予約,ja,Booking Process,1
チェックイン,ja,Booking Process,1
チェックアウト,ja,Booking Process,1
支払い,ja,Booking Process,1
料金,ja,Price,1
価格,ja,Price,1
割引,ja,Price,1
コスパ,ja,Price,1
スリッパ,ja,In-room Facilities,1
石鹸,ja,In-room Facilities,1
ハンドソープ,ja,In-room Facilities,1
シャンプー,ja,In-room Facilities,1
コンディショナー,ja,In-room Facilities,1
リンス,ja,In-room Facilities,1
ボディソープ,ja,In-room Facilities,1
歯ブラシ,ja,In-room Facilities,1
カミソリ,ja,In-room Facilities,1
ヘアブラシ,ja,In-room Facilities,1
シャワーキャップ,ja,In-room Facilities,1
パジャマ,ja,In-room Facilities,1
部屋着,ja,In-room Facilities,1
ガウン,ja,In-room Facilities,1
バスローブ,ja,In-room Facilities,1
接客,ja,Staff Service,1
説明,ja,Staff Service,1
電話対応,ja,Staff Service,1
問い合わせ,ja,Staff Service,1
送迎,ja,Transportation,1
モーニングコール,ja,Staff Service,1
キャンセル,ja,Booking Process,1
予約番号,ja,Booking Process,1
延泊,ja,Booking Process,1
宿泊名簿,ja,Booking Process,1
身分証明書,ja,Booking Process,1
署名,ja,Booking Process,1
領収書,ja,Booking Process,1
明細書,ja,Booking Process,1
精算機,ja,Booking Process,1
デポジット,ja,Booking Process,1
預かり金,ja,Booking Process,1
前払い,ja,Booking Process,1
値段,ja,Price,1
コストパフォーマンス,ja,Price,1
有料,ja,Price,1
追加料金,ja,Price,1
延長料金,ja,Price,1
飲食代,ja,Price,1
サービス料,ja,Price,1
消費税,ja,Price,1
宿泊税,ja,Price,1
ルームキー,ja,In-room Facilities,1
鍵,ja,In-room Facilities,1
カードキー,ja,In-room Facilities,1
コンセント,ja,In-room Facilities,1
リモコン,ja,In-room Facilities,1
電話,ja,In-room Facilities,1
充電器,ja,In-room Facilities,1
延長コード,ja,In-room Facilities,1
アイロン,ja,In-room Facilities,1
アイロン台,ja,In-room Facilities,1
ケトル,ja,In-room Facilities,1
電気ケトル,ja,In-room Facilities,1
湯沸かし,ja,In-room Facilities,1
空気洗浄機,ja,Air Conditioning,1
空気清浄機,ja,Air Conditioning,1
加湿器,ja,Air Conditioning,1
ルーター,ja,Internet,1
LANケーブル,ja,Internet,1
LAN,ja,Internet,1
無線LAN,ja,Internet,1
Wi-Fi,ja,Internet,1
WiFi,ja,Internet,1
ネット,ja,Internet,1
インターネット,ja,Internet,1
セーフティボックス,ja,In-room Facilities,1
洋室,ja,Room,1
和室,ja,Room,1
